개같은 소리 하지마,1
좌배 까는건 ㅇㅂ,1
개소리야 니가 빨갱이를 옹호하고 드루킹을 ㅇㅇ짓이라고 말못해서 삐진거야 빨갱아,1
애새끼가 초딩도 아니고 ㅋㅋㅋㅋ,1
731부대의 후예라 그런지 가학적인 아이디어는 세계최고임 이래서 애교만 떨어도 돈 벌리는 한국에 기를 써서 진출하려고 하지조센남자들은 또 이쁜여자만 보면 사족을 못쓰며 공주대접해주는 놈들이니,1
재앙이한건햇노,1
글쓴이 와꾸 승리에 비하면 방사능 피폭 원숭이 일듯..,1
마 씨발련 아 몇평이고 맷개드갔노 니 대하이햄하고 해밨나,1
꽃다발사들고 알바하는곳찾아가서 무릎꿇고 `내 마음을 받아줄래 지영아?` 하면 바로 넘어온다 여자들 이런거 존나좋아함,1
박근혜 안빠는데 보수통합 3원칙 인정함,1
대가리에 필터없는 연봉 30억 강사vs대가리가 없는 용접공,1
뭐저런 골빈 ㄴ이 다있냐 ㅋㅋㅋ 저런게 학원강사라고? 애들이 불쌍,1
정신병자 천국이구나,1
깍새들이 시발 존나강요하더라,1
리뷰쓴 새끼가 쓰레기 맞지저건 ㅋㅋㅋ 존나 악랄하게 사진찍어 올리는데,1
틀딱 씨발새끼들아 다꺼져라 냄새나니까,1
내가 세금 안내면 너 같은 동사무소에서 프린트나 하는 새끼는 월급 못받고 굶어 뒈져야 돼 병신새끼야.,1
원래 수준이 그래,1
전에 제주도 여행 갔는데 폭포 앞에 사진 잘나오는 포토존에서 사진 찍는거 기다렸는데 앞의 6명의 짱게이 때문에 짜증남먼저 6명 각자 한장씩 찍음다음 번갈아 가면서 둘이나 셋이서 짝 지어서 찍음 정말 끝나서 싶어 찍을려고 하니 그 6명이 다 모여서 포즈 바꿔가면서 또 사진 찍음이지랄 하고 있음,1
짱깨들 말하는 거임? 짱깨국이 무상의료라고?,1
빡대가리들에게 방법을 가르쳐주시면 ㅠㅜ,1
시발 정작 지네들 자식은 몸쓰는일 안시킬거면서 개지랄떠네 ㅋㅋㅋ,1
니들 틀딱들 닭빨고 진빨고 중국빨고 그때그때 빠는새끼들임 닭이 친중하면 중국도 빨고 오성홍기절하고 아님? 억울하면 논리적으로 반박을 해 ㅋ,1
꼴리지는 않고 그냥 존나 귀엽다,1
크로캅이 본야스키 개털던거 생각나네 ㅋㅋㅋㅋㅋㅋ진짜 개잡듯 잡아팼지 ㅋㅋㅋㅋ전직 은행원 본야스키 ㅋ,1
그러니깐 딜도로 쑤셔박아야한다는거지?,1
그래서 씨발롬아 PC가 나쁘다는 거야 좋다는 거야?,1
미쳤나 진짜 시발,1
진짜 몇시간씩 할 정도면 히로뽕맞고 하는거일수도있다경교대있을때 뽕쟁이 재소자 의무실간다고 계호할때인데 내보고 히로뽕하는게 단순하게 기분 좋은것보다 목적이 ㅅㅅ라던데비아그라보다 효과 좋단다 ㅋㅋㅋ,1
